,과목이름,교수님,평점,과제,팀플,학점 비율
417,취창업과진로설계,송진우,4.88,보통,없음,학점느님
418,창업과기업가정신2,송진우,4.83,보통,없음,학점느님
419,자동제어,송진우,4.8,보통,없음,학점느님
420,전기회로,송진우,4.75,많음,없음,학점느님
421,공업수학1,송진우,4.71,보통,없음,학점느님
422,소프트웨어기초코딩,송진우,4,보통,없음,학점느님
423,컴퓨팅사고기반기초코딩,송진우,3.17,보통,없음,비율 채워줌
424,고급C프로그래밍및실습,서재규,5,보통,없음,학점느님
425,이산수학및프로그래밍,서재규,5,보통,없음,학점느님
426,C프로그래밍및실습,서재규,5,보통,없음,비율 채워줌
427,영상처리,서재규,5,보통,없음,학점느님
428,신입생세미나,서재규,5,없음,없음,학점느님
429,디지털시스템,서재규,4.94,보통,없음,학점느님
430,대학생활과진로설계,서재규,4,보통,없음,학점느님
431,웹프로그래밍,이진영,5,많음,많음,비율 채워줌
432,영상처리,이진영,5,많음,없음,학점느님
433,C프로그래밍및실습,이진영,4.5,보통,없음,비율 채워줌
434,고급C프로그래밍및실습,이진영,3.9,보통,없음,비율 채워줌
435,자료구조및실습,이진영,3.73,없음,없음,매우 깐깐함
436,알고리즘및실습,이진영,2.5,없음,없음,매우 깐깐함
437,수치해석,정철,5,많음,많음,비율 채워줌
438,통신시스템,정철,5,보통,없음,학점느님
439,신호및시스템,정철,4.86,보통,없음,비율 채워줌
440,행정철학과윤리,정철,4.73,많음,없음,학점느님
441,고급C프로그래밍및실습,정철,4.14,많음,없음,비율 채워줌
442,컴퓨터네트워크,정철,4,보통,없음,학점느님
443,창의SW기초설계,정철,3.75,많음,많음,학점느님
444,창의융합노마드,정철,2.78,많음,많음,매우 깐깐함
445,패턴인식,최유경,5,보통,없음,비율 채워줌
446,인공지능의이해,최유경,5,많음,없음,학점느님
447,고급C프로그래밍및실습,최유경,4.86,많음,없음,비율 채워줌
448,인공지능,최유경,4.79,보통,없음,비율 채워줌
449,기계학습,최유경,4.6,많음,없음,비율 채워줌
450,자료구조및실습,최유경,4.44,많음,없음,비율 채워줌
451,C프로그래밍및실습,김성한,5,보통,없음,비율 채워줌
452,신입생세미나,김성한,5,없음,없음,학점느님
453,기계학습,김성한,5,보통,없음,비율 채워줌
454,동적시스템모델링,김성한,4.67,보통,없음,학점느님
455,창의SW기초설계,김성한,3.8,보통,많음,학점느님
456,창의SW융합노마드,김성한,3,보통,많음,학점느님
457,동역학,김성한,3,보통,없음,학점느님
458,SM-캡스톤디자인,김성한,2,보통,보통,학점느님
459,이산수학및프로그래밍,김세원,5,보통,없음,학점느님
460,창의SW융합노마드,김세원,5,많음,없음,학점느님
461,C프로그래밍및실습,김세원,5,보통,보통,비율 채워줌
462,자동제어,김세원,4.75,보통,없음,학점느님
463,창의SW융합노마드,이현석,5,보통,없음,학점느님
464,컴퓨터네트워크,이현석,5,보통,없음,학점느님
465,자료구조및실습,이현석,4.17,보통,보통,학점느님
466,전산개론-O,이현석,2.5,보통,없음,비율 채워줌
467,신호및시스템,이현석,2.33,보통,없음,비율 채워줌
468,디지털시스템,MAI The Vu,5,보통,없음,학점느님
469,선형대수및프로그래밍,MAI The Vu,5,보통,없음,비율 채워줌
470,로보틱스,MAI The Vu,3.33,보통,없음,학점느님
471,전기회로,Rashid ALI,2,보통,없음,비율 채워줌
472,확률통계및프로그래밍,Rashid ALI,1,많음,없음,비율 채워줌
473,컴퓨터구조및운영체제,Rizwan Ali NAQVI,4.67,많음,없음,학점느님
474,웹프로그래밍,Rizwan Ali NAQVI,1.25,많음,많음,매우 깐깐함
475,전기회로,김상모,4,보통,없음,학점느님
476,딥러닝시스템,김지선,2.75,보통,없음,비율 채워줌
477,선형대수및프로그래밍,IJAZ MUHAMMAD FAZAL,2,보통,없음,매우 깐깐함
478,확률통계및프로그래밍,IJAZ MUHAMMAD FAZAL,1.75,보통,없음,F 폭격기
479,컴퓨터구조및운영체제,Amir HAIDER,2,보통,없음,비율 채워줌
480,동적시스템모델링,강병현,4.5,보통,없음,비율 채워줌
481,전기회로,박소영,5,보통,없음,학점느님
482,웹프로그래밍,이찬화,5,많음,없음,학점느님
483,디지털시스템,이찬화,4.67,보통,없음,학점느님
484,대학생활과진로설계,박용진,5,없음,없음,학점느님
485,비주얼커뮤니케이션디자인2,박용진,5,많음,없음,비율 채워줌
486,신입생세미나,박용진,5,보통,없음,비율 채워줌
487,디자인인모션1,박용진,4.5,보통,없음,비율 채워줌
488,디지털미디어프로젝트1,박용진,3,많음,없음,비율 채워줌
489,그래픽디자인2,박용진,3,보통,없음,비율 채워줌
490,K-MOOC:모빌리티디자인방법론,김진성,5,보통,없음,학점느님
491,스마트프로덕트디자인1,김진성,4,많음,많음,비율 채워줌
492,디자인재료및성형기법,김진성,3,보통,보통,학점느님
493,3D디자인,김진성,1.29,많음,많음,F 폭격기
494,아이덴티티디자인1,민자경,5,많음,없음,매우 깐깐함
495,인포그래픽,민자경,5,많음,없음,학점느님
496,신입생세미나,민자경,5,보통,보통,학점느님
497,아이덴티티디자인2,민자경,5,많음,없음,학점느님
498,비주얼커뮤니케이션디자인2,민자경,4.67,많음,많음,비율 채워줌
499,2D디자인,민자경,4.62,많음,없음,비율 채워줌
500,비주얼커뮤니케이션디자인1,민자경,4.56,많음,보통,비율 채워줌
501,창의융합노마드,민자경,3.2,보통,많음,학점느님
502,애니메이션기초1,김세훈,5,많음,없음,비율 채워줌
503,애니메이션기초2,김세훈,3.5,보통,없음,매우 깐깐함
504,만화기초1,이현세,5,보통,없음,비율 채워줌
505,대학생활과진로설계,이현세,1,없음,없음,학점느님
506,ES-문화예술과ICT,최은경,5,보통,많음,학점느님
507,ES-콜라보레이션 크리에이티브,최은경,4,많음,많음,학점느님
508,ES-문화예술과ICT,최은경,4,없음,없음,학점느님
509,ES-문화예술과ICT,최은경,3,보통,많음,비율 채워줌
510,ES-콜라보레이션 크리에이티브,최은경,3,보통,많음,학점느님
511,이펙트디자인1,최은경,3,많음,많음,학점느님
512,뉴미디어콜라보레이션2,최은경,2,보통,많음,비율 채워줌
513,ES-문화예술과ICT,최은경,1,보통,없음,비율 채워줌
514,창의융합노마드,최은경,1,많음,많음,비율 채워줌
515,콘텐츠기획2,한창완,4.86,보통,없음,비율 채워줌
516,콘텐츠기획1,한창완,4.4,보통,없음,학점느님
517,K-MOOC:콘텐츠산업의비즈니스전략,한창완,4.15,보통,없음,학점느님
518,창의융합노마드,강윤극,1,많음,많음,비율 채워줌
519,디지털스토리텔링,박재우,1.5,보통,많음,비율 채워줌
520,창의융합노마드,박재우,1,많음,많음,비율 채워줌
521,연극영화교과교재연구및지도법,김영미,1,보통,보통,비율 채워줌
522,대학생활과진로설계,문현준,5,없음,없음,학점느님
523,모바일프로그래밍,문현준,4,보통,많음,비율 채워줌
524,Capstone디자인(산학협력프로젝트),문현준,3.5,보통,보통,학점느님
525,컴퓨터구조론,문현준,3,많음,없음,비율 채워줌
526,영상처리,문현준,2.5,없음,없음,비율 채워줌
527,컴퓨터구조,문현준,2.06,보통,없음,비율 채워줌
528,오픈소스SW개론,문현준,1.44,없음,없음,비율 채워줌
529,공학설계기초,장윤,5,많음,많음,학점느님
530,데이터시각화,장윤,3,많음,보통,비율 채워줌
531,공학설계기초(산학프로젝트입문),장윤,2.96,많음,없음,학점느님
532,컴퓨터그래픽스,장윤,2.92,많음,없음,비율 채워줌
533,ES-웨어러블컴퓨터디자인,장윤,1,많음,많음,비율 채워줌
534,대학생활과진로설계,장윤,1,보통,보통,학점느님
535,소프트웨어특강1,유성준,5,보통,없음,비율 채워줌
536,K-MOOC:파이썬을이용한기계학습개론,유성준,5,없음,없음,비율 채워줌
537,신입생세미나,유성준,5,보통,없음,학점느님
538,소프트웨어특강2,유성준,3.25,많음,없음,학점느님
539,기계학습,유성준,2.83,많음,없음,비율 채워줌
540,패턴인식,최유경,5,보통,없음,비율 채워줌
541,인공지능의이해,최유경,5,많음,없음,학점느님
542,고급C프로그래밍및실습,최유경,4.86,많음,없음,비율 채워줌
543,인공지능,최유경,4.79,보통,없음,비율 채워줌
544,기계학습,최유경,4.6,많음,없음,비율 채워줌
545,자료구조및실습,최유경,4.44,많음,없음,비율 채워줌
546,데이터베이스,김미숙,5,많음,없음,비율 채워줌
547,기계학습,김미숙,5,많음,없음,비율 채워줌
548,고급기계학습,김미숙,4,많음,보통,학점느님
549,창의SW융합노마드,김미숙,3.75,많음,없음,학점느님
550,K-MOOC:기계학습,김미숙,2,보통,없음,매우 깐깐함
551,고급데이터처리,심태용,5,보통,없음,학점느님
552,신입생세미나,이승원,5,보통,없음,학점느님
553,세종사회봉사1,이승원,5,없음,없음,학점느님
554,데이터문제해결및실습1,이승원,4.5,보통,없음,학점느님
555,운영체제,이승원,4.38,보통,없음,학점느님
556,대학생활과진로설계,이승원,4,없음,없음,학점느님
557,고급C프로그래밍및실습,이승원,3.88,보통,없음,학점느님
558,확률통계및프로그래밍,이승원,3.4,보통,없음,비율 채워줌
559,알고리즘및실습,이승원,3,없음,없음,학점느님
560,C프로그래밍및실습,이승원,2,많음,없음,F 폭격기
561,C프로그래밍및실습,전창재,5,보통,없음,학점느님
562,인공지능의이해,전창재,4.91,보통,없음,학점느님
563,소프트웨어특강2,Abolghasem Sadeghi-Niaraki,3.5,많음,없음,학점느님
564,공학설계기초(산학프로젝트입문),Abolghasem Sadeghi-Niaraki,2.14,많음,많음,비율 채워줌
565,소프트웨어특강1,Abolghasem Sadeghi-Niaraki,1,많음,보통,매우 깐깐함
566,웹프로그래밍,Abolghasem Sadeghi-Niaraki,1,보통,보통,학점느님
567,프로그래밍언어의개념,Anish Prasad Shrestha,4.8,보통,없음,학점느님
568,이산수학및프로그래밍,Anish Prasad Shrestha,3.86,보통,보통,학점느님
569,공업수학1,Anish Prasad Shrestha,3.75,보통,없음,비율 채워줌
570,HCI개론,Muhammad Raheel Bhutta,5,없음,없음,학점느님
571,운영체제,Muhammad Raheel Bhutta,4.67,보통,없음,비율 채워줌
572,문제해결및실습:C++,Muhammad Raheel Bhutta,3.5,보통,없음,비율 채워줌
573,데이터베이스,Muhammad Raheel Bhutta,2,많음,없음,비율 채워줌
574,무선통신,Nhu Ngoc DAO,4,보통,보통,학점느님
575,공학설계기초(산학프로젝트입문),Nhu Ngoc DAO,3.33,없음,없음,매우 깐깐함
576,멀티미디어,Shake Md Riazul Islam,4.5,보통,보통,학점느님
577,확률통계및프로그래밍,Shake Md Riazul Islam,4.25,보통,보통,학점느님
578,영상처리,Shake Md Riazul Islam,4,보통,없음,학점느님
579,문제해결및실습:C++,Shake Md Riazul Islam,2,보통,없음,학점느님
580,C#프로그래밍,Rajendra Dhakal,5,보통,없음,비율 채워줌
581,문제해결및실습:C++,Rajendra Dhakal,4.5,보통,없음,비율 채워줌
582,소프트웨어공학,Rajendra Dhakal,4,보통,보통,비율 채워줌
583,디지털시스템,Rajendra Dhakal,4,보통,없음,비율 채워줌
584,문제해결및실습:JAVA,Rajendra Dhakal,3.5,보통,보통,비율 채워줌
585,C프로그래밍및실습,Rajendra Dhakal,1.67,보통,보통,비율 채워줌
586,취업역량개발론,권순일,5,없음,없음,학점느님
587,패턴인식개론,권순일,4.5,없음,보통,학점느님
588,Capstone디자인(산학협력프로젝트),권순일,4,보통,보통,비율 채워줌
589,디지털사운드,권순일,3.83,보통,없음,비율 채워줌
590,Capstone디자인(산학협력프로젝트),권순일,2.5,없음,많음,매우 깐깐함
591,패턴인식,권순일,1.5,많음,없음,매우 깐깐함
592,신입생세미나,김용국,3,없음,없음,학점느님
593,HCI개론,김용국,2.22,없음,없음,학점느님
594,디지털시스템,김용국,1.7,보통,보통,매우 깐깐함
595,인공지능,김용국,1,보통,많음,매우 깐깐함
596,공학설계기초(산학프로젝트입문),이수진,2.38,보통,많음,매우 깐깐함
597,C프로그래밍및실습,전창재,5,보통,없음,학점느님
598,인공지능의이해,전창재,4.91,보통,없음,학점느님
599,창업과기업가정신2,이태하,5,보통,없음,학점느님
600,SHP고전강좌:Building Intellectus 1,이태하,5,많음,보통,학점느님
601,동양고전강독1,이태하,5,보통,없음,학점느님
602,서양철학:쟁점과토론,이태하,4.94,많음,없음,학점느님
603,창업과기업가정신1,이태하,4.83,보통,없음,학점느님
604,서양철학:쟁점과토론,이태하,4.8,보통,보통,학점느님
605,서양철학:쟁점과토론,이태하,4.75,보통,보통,비율 채워줌
606,창업과기업가정신1,이태하,4.54,보통,없음,학점느님
607,서양고전강독2,이태하,4.53,보통,없음,학점느님
608,서양철학:쟁점과토론,이태하,4.5,많음,보통,비율 채워줌
609,서양고전강독1,이태하,4.5,보통,없음,학점느님
610,수요집현강좌,이태하,4.49,보통,없음,학점느님
611,서양철학:쟁점과토론,이태하,4.32,많음,없음,비율 채워줌
612,서양철학:쟁점과토론,이태하,4.3,많음,없음,학점느님
613,서양철학:쟁점과토론,이태하,4.06,많음,없음,비율 채워줌
614,서양고전강독4,이태하,4,보통,없음,학점느님
615,교직소양을위한독서강좌2,이태하,4,없음,없음,학점느님
616,서양철학:쟁점과토론,이태하,4,많음,많음,비율 채워줌
617,서양철학:쟁점과토론,이태하,3.67,많음,많음,비율 채워줌
618,서양철학:쟁점과토론,이태하,3.67,많음,많음,비율 채워줌
619,창업과기업가정신1,이태하,3.6,보통,없음,학점느님
620,서양고전강독3,이태하,3.44,보통,없음,학점느님
621,서양철학:쟁점과토론,이태하,3.43,많음,많음,학점느님
622,서양철학:쟁점과토론,이태하,3.33,많음,보통,매우 깐깐함
623,서양철학:쟁점과토론,이태하,3.32,많음,없음,비율 채워줌
624,"공간과인간:인문,예술,공학의융합",이태하,3,보통,보통,매우 깐깐함
625,SHP고전강좌:Reading Intellectus 1,이태하,2.33,많음,많음,매우 깐깐함
626,"공간과인간:인문,예술,공학의융합",이태하,2,많음,보통,매우 깐깐함
627,동서양고전문학강독,이태하,1.67,많음,없음,비율 채워줌
628,서양철학:쟁점과토론,이태하,1.05,많음,많음,매우 깐깐함
629,독서토론,김판임,4.67,많음,보통,비율 채워줌
630,문화콘텐츠와성서,김판임,3.4,보통,보통,비율 채워줌
631,서양종교의이해,김판임,3.2,보통,보통,비율 채워줌
632,동양종교의이해,김판임,3.18,보통,없음,비율 채워줌
633,독어,김판임,3.17,보통,보통,비율 채워줌
634,그리스로마신화의이해,김판임,2.64,보통,보통,비율 채워줌
635,서양철학:쟁점과토론,이석배,3.54,많음,많음,비율 채워줌
636,서양철학:쟁점과토론,이석배,3.43,많음,많음,학점느님
637,인류학과현대사회,공수진,5,보통,보통,비율 채워줌
638,유니스토리,공수진,4.5,보통,없음,비율 채워줌
639,세계사:인간과문명,공수진,4.18,보통,보통,비율 채워줌
640,동서양고전문학강독,김우영,4,보통,없음,학점느님
641,문제해결을위한글쓰기와발표,김우영,3.97,많음,많음,비율 채워줌
642,현대인과기독교,김현섭,4.67,보통,없음,학점느님
643,문화콘텐츠와성서,김현섭,4.5,보통,없음,학점느님
644,서양종교의이해,김현섭,4.5,보통,없음,학점느님
645,독서토론,김현섭,4.27,많음,없음,학점느님
646,현대사회와다문화주의,문종현,4.62,없음,없음,비율 채워줌
647,EU의정치경제와사회,문종현,4.4,없음,없음,비율 채워줌
648,세계사:인간과문명,문종현,4.34,보통,보통,비율 채워줌
649,인물로보는세계사,박효근,4.47,보통,없음,비율 채워줌
650,세계사:인간과문명,박효근,4.46,보통,많음,비율 채워줌
651,교직소양을위한독서강좌2,박효근,4,보통,보통,매우 깐깐함
652,고전특강,박효근,2.69,많음,없음,매우 깐깐함
653,GMSW-자연어처리와프로그래밍언어,신원재,5,보통,없음,비율 채워줌
654,문제해결을위한글쓰기와발표,신원재,4.43,보통,많음,비율 채워줌
655,영어듣기와말하기,신원재,4.2,보통,많음,학점느님
656,SHP고전강좌:Reading Intellectus 1,신원재,2.25,많음,보통,매우 깐깐함
657,서양철학:쟁점과토론,윤지선,2.85,많음,많음,비율 채워줌
658,서양철학:쟁점과토론,이석배,3.54,많음,많음,비율 채워줌
659,서양철학:쟁점과토론,이석배,3.43,많음,많음,학점느님
660,독서토론,이영민,4,보통,많음,비율 채워줌
661,고전특강,이영민,4,많음,많음,학점느님
662,논리와논술,이영민,3.67,보통,없음,비율 채워줌
663,문제해결을위한글쓰기와발표,이영민,2.35,많음,많음,비율 채워줌
664,세종리더십,이영민,2,많음,많음,비율 채워줌
665,애지헌강좌1,이요섭,5,보통,보통,학점느님
666,채플1,이요섭,4.96,없음,없음,학점느님
667,채플3,이요섭,4.93,없음,없음,학점느님
668,채플4,이요섭,4.9,없음,없음,학점느님
669,채플2,이요섭,4.77,없음,없음,학점느님
670,SHP고전강좌:Reading Intellectus 1,이유진,4.5,많음,보통,학점느님
671,문제해결을위한글쓰기와발표,이유진,3.39,많음,많음,학점느님
672,서양고전강독3,이유진,2.47,많음,없음,매우 깐깐함
673,서양철학:쟁점과토론,이재훈,4.94,많음,없음,학점느님
674,동서양의윤리,이재훈,4.25,없음,없음,학점느님
675,서양철학:쟁점과토론,이재훈,4.04,보통,많음,비율 채워줌
676,서양철학:쟁점과토론,이지영,4.06,많음,없음,비율 채워줌
677,서양철학:쟁점과토론,이지영,3.78,많음,많음,비율 채워줌
678,문제해결을위한글쓰기와발표,이지영,3.32,보통,많음,비율 채워줌
679,K-MOOC:미디어빅뱅시대의예술,이지영,3.19,보통,없음,학점느님
680,문제해결을위한글쓰기와발표,진선영,4.5,보통,많음,학점느님
681,서양철학:쟁점과토론,최일규,4.8,보통,보통,학점느님
682,서양철학:쟁점과토론,최일규,3.43,많음,많음,비율 채워줌
683,문제해결을위한글쓰기와발표,하지영,3.99,많음,많음,비율 채워줌
684,동서양고전문학강독,하지영,3.33,보통,없음,비율 채워줌
685,서양철학:쟁점과토론,한경자,4.3,많음,없음,학점느님
686,서양철학:쟁점과토론,한경자,4.12,보통,많음,비율 채워줌
687,세종리더십,황성근,5,보통,보통,비율 채워줌
688,고전특강,황성근,4.4,많음,보통,학점느님
689,문제해결을위한글쓰기와발표,황성근,3.01,많음,많음,비율 채워줌
690,언어와문명,황성근,1,많음,많음,매우 깐깐함
691,국가와정체성,호사카유지,4.78,없음,없음,비율 채워줌
692,한일교류사,호사카유지,4.26,보통,없음,비율 채워줌
693,정치경제학의이해,호사카유지,3.92,없음,없음,비율 채워줌
694,역사와한국의영토,호사카유지,3.67,없음,없음,비율 채워줌
695,세종리더십,이주은,3.56,많음,많음,비율 채워줌
696,시사로보는경제이야기,양봉진,4.08,많음,없음,비율 채워줌
697,SHP고전강좌:Reading Intellectus 2,양봉진,1.33,많음,없음,비율 채워줌
